ApplicationID,TestDate,QuantitativeScore,LogicalScore,VerbalScore,TotalScore
A00001,2024-12-03,30,15,27,72
A00002,2024-03-22,14,13,38,65
A00003,2023-12-18,12,18,28,58
A00004,2024-11-13,24,34,35,93
A00005,2024-07-17,28,10,16,54
A00006,2024-09-18,22,22,23,67
A00007,2024-12-02,18,14,30,62
A00008,2024-06-30,16,11,38,65
A00009,2024-03-11,26,19,14,59
A00010,2024-11-16,12,28,32,72
A00011,2024-05-15,40,19,15,74
A00012,2024-02-19,21,34,23,78
A00013,2024-10-07,25,39,40,104
A00014,2023-12-11,17,29,12,58
A00015,2024-03-15,21,18,23,62
A00016,2024-08-22,19,26,25,70
A00017,2024-10-11,29,20,11,60
A00018,2024-06-05,35,39,36,110
A00019,2024-05-22,26,27,26,79
A00020,2024-03-16,36,22,40,98
A00021,2024-11-29,29,30,36,95
A00022,2024-01-14,18,38,39,95
A00023,2024-09-19,25,11,15,51
A00024,2024-08-04,32,14,22,68
A00025,2024-07-10,33,12,38,83
A00026,2024-04-27,25,31,31,87
A00027,2024-03-25,33,24,34,91
A00028,2024-09-13,13,11,20,44
A00029,2024-11-12,27,37,16,80
A00030,2024-12-06,31,25,14,70
A00031,2024-05-22,17,16,16,49
A00032,2024-01-06,36,31,36,103
A00033,2024-08-28,40,40,34,114
A00034,2024-08-23,17,39,37,93
A00035,2023-12-16,17,22,39,78
A00036,2024-07-25,21,33,16,70
A00037,2024-01-18,17,16,36,69
A00038,2024-04-01,17,18,20,55
A00039,2024-08-21,28,12,30,70
A00040,2024-01-15,33,31,39,103
A00041,2024-11-16,12,15,36,63
A00042,2024-10-12,11,28,24,63
A00043,2024-06-10,28,23,18,69
A00044,2024-01-17,15,24,35,74
A00045,2024-06-01,39,33,19,91
A00046,2024-09-02,16,32,32,80
A00047,2024-01-26,21,32,10,63
A00048,2024-07-09,39,40,26,105
A00049,2024-08-08,34,27,27,88
A00050,2024-10-24,30,35,11,76
A00051,2024-10-06,11,22,14,47
A00052,2024-09-22,18,19,11,48
A00053,2024-02-15,39,27,12,78
A00054,2024-04-04,14,17,26,57
A00055,2024-04-02,27,39,32,98
A00056,2024-01-19,40,23,21,84
A00057,2024-11-20,23,18,37,78
A00058,2024-04-19,38,21,28,87
A00059,2024-07-21,33,40,17,90
A00060,2024-02-22,29,32,16,77
A00061,2024-09-25,32,28,37,97
A00062,2024-05-16,23,17,38,78
A00063,2024-05-02,34,16,27,77
A00064,2024-03-27,10,19,35,64
A00065,2024-01-15,20,30,19,69
A00066,2024-05-10,18,20,16,54
A00067,2024-04-09,18,30,21,69
A00068,2024-05-24,17,36,36,89
A00069,2024-11-01,21,18,25,64
A00070,2024-01-03,40,17,20,77
A00071,2024-03-09,18,40,19,77
A00072,2024-05-21,37,20,25,82
A00073,2024-06-16,16,31,27,74
A00074,2024-04-09,38,23,17,78
A00075,2024-08-16,14,24,29,67
A00076,2024-09-06,18,24,25,67
A00077,2024-10-06,35,22,28,85
A00078,2024-07-30,38,37,35,110
A00079,2024-08-30,24,13,32,69
A00080,2024-05-21,40,18,22,80
A00081,2024-09-29,28,35,19,82
A00082,2024-09-22,15,28,35,78
A00083,2024-08-14,35,37,32,104
A00084,2024-02-22,30,39,11,80
A00085,2024-06-24,11,37,38,86
A00086,2024-03-30,15,22,40,77
A00087,2023-12-25,11,39,23,73
A00088,2024-08-11,21,17,38,76
A00089,2024-08-13,24,10,19,53
A00090,2024-06-08,23,36,14,73
A00091,2024-10-03,20,38,25,83
A00092,2024-08-11,35,28,24,87
A00093,2024-06-12,31,14,18,63
A00094,2024-10-28,17,34,21,72
A00095,2024-06-06,39,19,26,84
A00096,2024-09-29,23,34,19,76
A00097,2024-02-19,16,16,21,53
A00098,2024-01-12,39,15,38,92
A00099,2024-09-11,33,13,13,59
A00100,2024-03-15,31,38,29,98
A00101,2024-07-22,22,17,21,60
A00102,2024-07-17,13,32,12,57
A00103,2024-05-06,11,26,10,47
A00104,2024-05-10,39,19,27,85
A00105,2024-03-18,40,25,27,92
A00106,2024-10-23,10,22,33,65
A00107,2024-10-04,39,21,36,96
A00108,2024-05-26,13,16,16,45
A00109,2024-10-04,16,24,18,58
A00110,2024-02-06,16,33,30,79
A00111,2024-05-01,39,25,40,104
A00112,2024-08-11,40,33,18,91
A00113,2024-09-30,24,11,16,51
A00114,2024-06-18,40,28,17,85
A00115,2024-12-06,11,22,26,59
A00116,2024-10-18,31,19,16,66
A00117,2024-11-24,26,24,35,85
A00118,2024-10-09,38,12,32,82
A00119,2024-10-19,22,21,39,82
A00120,2024-08-31,15,29,32,76
A00121,2023-12-18,35,28,22,85
A00122,2024-08-25,31,20,16,67
A00123,2024-03-09,33,20,14,67
A00124,2024-08-17,15,40,35,90
A00125,2024-06-02,21,39,32,92
A00126,2024-04-18,16,21,26,63
A00127,2024-05-10,13,15,34,62
A00128,2024-08-21,21,16,34,71
A00129,2024-10-14,17,25,23,65
A00130,2024-07-27,26,16,21,63
A00131,2024-06-23,27,18,33,78
A00132,2024-08-12,17,21,23,61
A00133,2024-02-25,31,12,22,65
A00134,2024-08-08,11,34,22,67
A00135,2023-12-12,35,15,14,64
A00136,2024-07-01,14,23,33,70
A00137,2024-07-16,21,13,25,59
A00138,2024-12-09,35,32,29,96
A00139,2024-11-26,31,32,29,92
A00140,2024-03-18,12,32,32,76
A00141,2024-11-11,11,27,23,61
A00142,2024-05-04,31,26,27,84
A00143,2024-05-04,19,30,21,70
A00144,2024-04-05,23,32,24,79
A00145,2024-08-19,20,10,40,70
A00146,2024-02-28,29,11,11,51
A00147,2024-09-05,35,14,32,81
A00148,2024-10-07,20,23,16,59
A00149,2024-05-31,37,36,21,94
A00150,2024-02-13,20,31,29,80
A00151,2024-12-01,35,25,11,71
A00152,2024-03-31,22,13,40,75
A00153,2024-10-21,11,28,34,73
A00154,2024-08-12,24,26,28,78
A00155,2024-06-30,18,32,10,60
A00156,2024-07-13,21,11,36,68
A00157,2024-10-29,27,12,28,67
A00158,2024-08-26,17,20,11,48
A00159,2024-04-22,20,38,13,71
A00160,2024-03-31,35,33,12,80
A00161,2024-08-25,17,21,40,78
A00162,2024-10-12,14,35,10,59
A00163,2024-05-29,20,16,28,64
A00164,2024-01-02,33,39,16,88
A00165,2023-12-29,23,23,20,66
A00166,2024-01-03,24,29,16,69
A00167,2024-09-18,17,24,20,61
A00168,2024-01-02,13,16,19,48
A00169,2024-01-15,35,25,10,70
A00170,2024-04-30,19,10,31,60
A00171,2024-04-11,27,13,15,55
A00172,2024-10-09,21,18,21,60
A00173,2024-07-07,26,26,22,74
A00174,2024-10-18,16,35,20,71
A00175,2024-10-27,16,20,21,57
A00176,2024-08-23,14,19,32,65
A00177,2024-11-27,27,20,35,82
A00178,2024-09-10,23,26,23,72
A00179,2024-10-28,23,38,33,94
A00180,2024-02-01,14,38,31,83
A00181,2024-11-24,14,39,14,67
A00182,2024-04-15,31,35,39,105
A00183,2024-05-14,29,36,40,105
A00184,2024-04-27,28,31,10,69
A00185,2024-10-01,20,28,33,81
A00186,2024-07-22,11,19,28,58
A00187,2024-09-07,39,18,35,92
A00188,2024-08-25,27,35,24,86
A00189,2024-07-29,31,26,19,76
A00190,2024-07-06,16,26,24,66
A00191,2024-05-27,12,37,39,88
A00192,2024-06-11,35,38,30,103
A00193,2024-06-03,18,38,38,94
A00194,2024-01-18,11,26,11,48
A00195,2024-05-08,15,29,10,54
A00196,2023-12-13,34,35,23,92
A00197,2024-06-08,25,24,35,84
A00198,2024-05-10,12,27,17,56
A00199,2024-06-06,19,20,40,79
A00200,2024-04-02,18,20,31,69
A00201,2024-01-31,37,13,37,87
A00202,2024-03-09,38,32,40,110
A00203,2024-01-14,26,27,36,89
A00204,2024-06-06,26,32,32,90
A00205,2024-04-14,17,19,25,61
A00206,2024-09-15,24,39,21,84
A00207,2024-09-09,25,37,17,79
A00208,2024-04-01,40,26,21,87
A00209,2024-06-13,35,22,35,92
A00210,2024-01-19,13,28,36,77
A00211,2024-05-11,17,28,27,72
A00212,2024-08-07,31,38,17,86
A00213,2024-02-16,18,12,31,61
A00214,2024-02-27,38,14,23,75
A00215,2024-04-01,21,32,39,92
A00216,2024-02-09,32,37,18,87
A00217,2024-09-14,25,21,31,77
A00218,2024-07-03,21,33,21,75
A00219,2024-08-08,27,19,18,64
A00220,2024-04-19,23,18,34,75
A00221,2023-12-21,27,29,14,70
A00222,2024-01-12,36,24,31,91
A00223,2024-04-13,38,31,28,97
A00224,2024-08-10,20,34,27,81
A00225,2024-11-14,36,21,33,90
A00226,2024-02-27,27,19,39,85
A00227,2024-01-06,40,17,18,75
A00228,2024-08-20,24,20,22,66
A00229,2024-11-29,24,13,38,75
A00230,2024-09-15,25,10,15,50
A00231,2024-10-27,37,26,35,98
A00232,2024-07-07,32,36,14,82
A00233,2024-12-06,24,23,17,64
A00234,2024-07-06,23,18,35,76
A00235,2024-08-07,21,14,11,46
A00236,2024-11-23,19,10,33,62
A00237,2024-10-26,15,34,32,81
A00238,2024-09-21,30,28,20,78
A00239,2024-06-13,30,24,12,66
A00240,2023-12-20,10,39,10,59
A00241,2024-10-06,10,28,28,66
A00242,2024-10-09,22,39,17,78
A00243,2023-12-18,35,20,18,73
A00244,2024-06-14,26,39,33,98
A00245,2024-02-03,25,17,28,70
A00246,2024-04-16,11,16,10,37
A00247,2024-12-07,22,18,31,71
A00248,2024-09-10,24,20,12,56
A00249,2024-04-06,11,10,36,57
A00250,2024-06-27,27,11,34,72
A00251,2024-08-21,39,27,15,81
A00252,2024-05-10,18,33,16,67
A00253,2024-05-08,36,19,28,83
A00254,2024-04-28,28,36,29,93
A00255,2024-03-05,23,40,11,74
A00256,2024-11-16,29,37,34,100
A00257,2024-12-08,24,25,40,89
A00258,2024-08-07,17,22,22,61
A00259,2023-12-14,12,17,16,45
A00260,2024-07-26,32,29,33,94
A00261,2024-06-21,37,31,23,91
A00262,2024-10-11,33,37,21,91
A00263,2023-12-27,19,23,34,76
A00264,2024-10-16,18,34,34,86
