ApplicationID,Channel,Date,MessageType,ResponseTime (hours)
A00001,Email,2024-03-17,Thank You,4
A00002,WhatsApp,2024-01-20,Application Status,48
A00003,Email,2024-05-29,Follow-Up,
A00004,Email,2024-11-21,Follow-Up,2
A00005,Email,2024-07-11,Thank You,
A00006,WhatsApp,2024-10-22,Thank You,4
A00007,WhatsApp,2024-04-10,Follow-Up,6
A00008,WhatsApp,2024-03-30,Thank You,2
A00009,Phone Call,2024-09-24,Follow-Up,
A00010,WhatsApp,2024-10-31,Reminder,48
A00011,WhatsApp,2024-09-24,Thank You,6
A00012,Email,2024-09-08,Reminder,4
A00013,Email,2024-06-18,Thank You,6
A00014,Email,2024-02-17,Follow-Up,24
A00015,WhatsApp,2024-02-12,Follow-Up,12
A00016,Email,2024-11-10,Follow-Up,24
A00017,WhatsApp,2024-01-27,Follow-Up,6
A00018,WhatsApp,2024-03-31,Thank You,24
A00019,WhatsApp,2024-07-21,Reminder,12
A00020,Phone Call,2024-03-01,Thank You,2
A00021,WhatsApp,2023-12-25,Thank You,6
A00022,WhatsApp,2024-01-25,Reminder,
A00023,WhatsApp,2024-09-05,Application Status,2
A00024,WhatsApp,2024-01-26,Application Status,
A00025,Email,2024-11-12,Thank You,6
A00026,WhatsApp,2024-03-04,Thank You,24
A00027,Phone Call,2024-05-24,Application Status,
A00028,WhatsApp,2024-09-24,Thank You,12
A00029,WhatsApp,2024-09-03,Follow-Up,
A00030,Phone Call,2024-05-06,Thank You,12
A00031,Email,2024-04-30,Thank You,6
A00032,Email,2024-09-30,Follow-Up,6
A00033,Email,2024-09-21,Reminder,4
A00034,Phone Call,2024-08-11,Application Status,
A00035,Email,2024-03-03,Reminder,2
A00036,WhatsApp,2024-11-07,Reminder,12
A00037,Phone Call,2023-12-28,Follow-Up,6
A00038,Email,2024-12-03,Reminder,
A00039,Email,2024-07-19,Follow-Up,
A00040,Email,2024-09-30,Follow-Up,2
A00041,Email,2024-09-29,Application Status,48
A00042,Phone Call,2024-05-16,Follow-Up,12
A00043,Email,2024-06-07,Thank You,48
A00044,Email,2024-05-23,Follow-Up,12
A00045,WhatsApp,2024-04-07,Thank You,48
A00046,WhatsApp,2024-06-22,Thank You,48
A00047,Email,2024-02-06,Reminder,12
A00048,WhatsApp,2024-09-12,Application Status,24
A00049,WhatsApp,2024-08-22,Follow-Up,6
A00050,Phone Call,2024-10-05,Follow-Up,12
A00051,Email,2024-02-06,Thank You,
A00052,Email,2024-09-30,Reminder,
A00053,Phone Call,2024-07-26,Follow-Up,4
A00054,Email,2024-11-05,Follow-Up,
A00055,WhatsApp,2024-05-14,Thank You,4
A00056,WhatsApp,2024-11-01,Thank You,4
A00057,Phone Call,2024-04-17,Follow-Up,12
A00058,WhatsApp,2024-08-02,Follow-Up,12
A00059,Phone Call,2024-10-28,Reminder,2
A00060,Email,2024-12-08,Reminder,2
A00061,Phone Call,2024-04-13,Application Status,12
A00062,Phone Call,2024-10-21,Follow-Up,24
A00063,Phone Call,2024-06-22,Reminder,12
A00064,Email,2024-03-11,Follow-Up,24
A00065,WhatsApp,2024-02-14,Application Status,2
A00066,WhatsApp,2024-06-19,Application Status,24
A00067,Email,2023-12-13,Application Status,12
A00068,Phone Call,2024-08-01,Application Status,12
A00069,Phone Call,2024-08-26,Reminder,
A00070,WhatsApp,2024-03-29,Follow-Up,24
A00071,Phone Call,2024-05-08,Follow-Up,24
A00072,Phone Call,2024-01-07,Thank You,2
A00073,Phone Call,2024-11-16,Reminder,4
A00074,WhatsApp,2024-06-27,Thank You,12
A00075,WhatsApp,2024-11-17,Follow-Up,24
A00076,WhatsApp,2024-10-02,Thank You,2
A00077,Email,2023-12-10,Thank You,4
A00078,Phone Call,2024-05-11,Follow-Up,24
A00079,Phone Call,2023-12-26,Thank You,4
A00080,Email,2024-03-19,Thank You,4
A00081,WhatsApp,2024-02-23,Application Status,12
A00082,WhatsApp,2024-09-06,Reminder,48
A00083,Phone Call,2024-05-15,Thank You,
A00084,Email,2024-09-28,Follow-Up,4
A00085,WhatsApp,2024-11-23,Application Status,24
A00086,Phone Call,2024-07-07,Application Status,24
A00087,Email,2024-04-19,Application Status,
A00088,Phone Call,2024-05-22,Application Status,2
A00089,Email,2024-03-17,Application Status,
A00090,WhatsApp,2024-03-13,Thank You,4
A00091,WhatsApp,2023-12-12,Thank You,24
A00092,Email,2024-04-28,Reminder,2
A00093,WhatsApp,2024-11-13,Follow-Up,6
A00094,WhatsApp,2024-11-24,Reminder,24
A00095,Phone Call,2024-09-18,Follow-Up,4
A00096,Phone Call,2024-09-21,Application Status,24
A00097,Phone Call,2024-08-15,Application Status,
A00098,Phone Call,2024-11-24,Thank You,2
A00099,Phone Call,2024-06-04,Reminder,
A00100,WhatsApp,2024-01-05,Application Status,4
A00101,WhatsApp,2024-09-20,Application Status,12
A00102,WhatsApp,2024-02-25,Thank You,
A00103,WhatsApp,2024-06-01,Follow-Up,12
A00104,WhatsApp,2024-12-02,Reminder,6
A00105,Phone Call,2024-05-24,Follow-Up,2
A00106,Phone Call,2024-07-28,Reminder,24
A00107,WhatsApp,2024-07-25,Thank You,48
A00108,WhatsApp,2024-08-29,Thank You,
A00109,WhatsApp,2024-04-25,Thank You,24
A00110,WhatsApp,2024-04-26,Thank You,24
A00111,Phone Call,2024-01-14,Thank You,6
A00112,WhatsApp,2024-12-06,Reminder,
A00113,Email,2024-04-24,Application Status,48
A00114,Phone Call,2024-11-20,Thank You,12
A00115,Email,2023-12-31,Thank You,48
A00116,Email,2024-11-18,Reminder,2
A00117,WhatsApp,2024-09-10,Thank You,12
A00118,WhatsApp,2024-05-07,Reminder,24
A00119,Email,2024-01-27,Follow-Up,4
A00120,WhatsApp,2024-09-17,Thank You,24
A00121,WhatsApp,2024-01-18,Follow-Up,24
A00122,WhatsApp,2024-02-18,Application Status,6
A00123,Phone Call,2024-03-23,Reminder,48
A00124,Email,2024-01-31,Reminder,24
A00125,Phone Call,2024-05-26,Follow-Up,48
A00126,Phone Call,2024-11-26,Follow-Up,4
A00127,Email,2024-04-04,Application Status,4
A00128,Phone Call,2024-12-06,Thank You,2
A00129,Email,2024-03-23,Application Status,24
A00130,Phone Call,2024-01-04,Reminder,
A00131,Phone Call,2023-12-19,Application Status,2
A00132,WhatsApp,2024-10-28,Reminder,6
A00133,WhatsApp,2024-02-23,Follow-Up,4
A00134,WhatsApp,2024-11-28,Follow-Up,4
A00135,WhatsApp,2024-07-25,Reminder,2
A00136,WhatsApp,2024-09-27,Application Status,
A00137,WhatsApp,2024-09-13,Reminder,24
A00138,Email,2023-12-11,Reminder,24
A00139,Phone Call,2024-07-07,Thank You,4
A00140,WhatsApp,2023-12-30,Follow-Up,
A00141,Phone Call,2024-04-18,Application Status,6
A00142,Email,2024-01-16,Reminder,12
A00143,WhatsApp,2024-06-01,Thank You,4
A00144,Email,2024-09-12,Application Status,2
A00145,WhatsApp,2024-03-12,Follow-Up,2
A00146,Email,2024-03-22,Application Status,24
A00147,WhatsApp,2024-01-15,Application Status,48
A00148,Email,2024-07-28,Follow-Up,4
A00149,Email,2024-03-04,Thank You,24
A00150,Email,2024-10-30,Application Status,48
A00151,Phone Call,2024-06-07,Thank You,2
A00152,WhatsApp,2024-06-29,Follow-Up,24
A00153,Phone Call,2024-02-17,Application Status,
A00154,Phone Call,2024-10-07,Follow-Up,6
A00155,Phone Call,2024-09-01,Follow-Up,
A00156,WhatsApp,2024-07-04,Thank You,2
A00157,Email,2024-03-14,Thank You,2
A00158,WhatsApp,2024-10-22,Thank You,6
A00159,Email,2024-02-29,Follow-Up,
A00160,WhatsApp,2024-03-11,Follow-Up,
A00161,Email,2024-06-19,Thank You,
A00162,Email,2024-07-02,Follow-Up,4
A00163,Phone Call,2023-12-18,Reminder,
A00164,Email,2024-09-20,Application Status,6
A00165,Email,2024-07-11,Reminder,
